time,x,y,z,roll,pitch,yaw,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
21.159000,0.000000,0.000000,1.990298,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.431200,-0.000000,0.000000,0.000000
21.160000,0.000000,0.000000,1.989857,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.441000,-0.000000,0.000000,0.000000
21.161000,0.000000,0.000000,1.989406,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.450800,-0.000000,0.000000,0.000000
21.162000,0.000000,0.000000,1.988946,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.460600,0.000000,0.000000,0.000000
21.163000,0.000000,0.000000,1.988475,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.470400,0.000000,0.000000,0.000000
21.164000,0.000000,0.000000,1.987995,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.480200,0.000000,0.000000,0.000000
21.165000,0.000000,0.000000,1.987505,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.490000,-0.000000,0.000000,0.000000
21.166000,0.000000,0.000000,1.987005,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.499800,-0.000000,0.000000,0.000000
21.167000,0.000000,0.000000,1.986496,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.509600,-0.000000,0.000000,0.000000
21.168000,0.000000,0.000000,1.985976,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.519400,-0.000000,0.000000,0.000000
21.169000,0.000000,0.000000,1.985447,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.529200,-0.000000,0.000000,0.000000
21.170000,0.000000,0.000000,1.984908,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.539000,0.000000,0.000000,0.000000
21.171000,0.000000,0.000000,1.984359,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.548800,0.000000,0.000000,0.000000
21.172000,0.000000,0.000000,1.983801,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.558600,0.000000,0.000000,0.000000
21.173000,0.000000,0.000000,1.983232,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.568400,0.000000,0.000000,0.000000
21.174000,0.000000,0.000000,1.982654,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.578200,0.000000,0.000000,0.000000
21.175000,0.000000,0.000000,1.982066,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.588000,0.000000,0.000000,0.000000
21.176000,0.000000,0.000000,1.981468,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.597800,0.000000,0.000000,0.000000
21.177000,0.000000,0.000000,1.980861,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.607600,0.000000,0.000000,0.000000
21.178000,0.000000,0.000000,1.980243,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.617400,0.000000,0.000000,0.000000
21.179000,0.000000,0.000000,1.979616,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.627200,0.000000,0.000000,0.000000
21.180000,0.000000,0.000000,1.978979,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.637000,0.000000,0.000000,0.000000
21.181000,0.000000,0.000000,1.978332,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.646800,0.000000,0.000000,0.000000
21.182000,0.000000,0.000000,1.977676,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.656600,0.000000,0.000000,0.000000
21.183000,0.000000,0.000000,1.977009,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.666400,0.000000,0.000000,0.000000
21.184000,0.000000,0.000000,1.976333,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.676200,0.000000,0.000000,0.000000
21.185000,0.000000,0.000000,1.975647,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.686000,0.000000,0.000000,0.000000
21.186000,0.000000,0.000000,1.974951,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.695800,0.000000,0.000000,0.000000
