time,x,y,z,roll,pitch,yaw,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
21.115000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.116000,0.365740,-0.221500,-0.073680,-0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.009810,-0.000000,0.000000,0.000000
21.117000,0.365740,-0.221500,-0.073680,-0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.019620,-0.000000,0.000000,-0.000000
21.118000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,0.000000,-0.000000,-0.029430,-0.000000,-0.000000,-0.000000
21.119000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.039240,-0.000000,0.000000,-0.000000
21.120000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.049050,0.000000,-0.000000,-0.000000
21.121000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,-0.000000,-0.000000,-0.058860,-0.000000,0.000000,-0.000000
21.122000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,-0.000000,-0.000000,-0.068670,-0.000000,0.000000,-0.000000
21.123000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,-0.000000,-0.000000,-0.078480,-0.000000,0.000000,-0.000000
21.124000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,-0.000000,-0.000000,-0.088290,-0.000000,0.000000,-0.000000
21.125000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.098100,-0.000000,0.000000,-0.000000
21.126000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.107910,-0.000000,0.000000,0.000000
21.127000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.117720,-0.000000,0.000000,-0.000000
21.128000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.127530,-0.000000,0.000000,-0.000000
21.129000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,-0.000000,-0.000000,-0.137340,-0.000000,0.000000,-0.000000
21.130000,0.365740,-0.221500,-0.073680,0.000000,-0.000000,3.141590,0.000000,0.000000,-0.147150,-0.000000,-0.000000,-0.000000
21.131000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.156960,0.000000,-0.000000,-0.000000
21.132000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,-0.000000,-0.000000,-0.166770,-0.000000,0.000000,-0.000000
21.133000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.176580,0.000000,-0.000000,-0.000000
21.134000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.186390,0.000000,-0.000000,-0.000000
21.135000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.196200,0.000000,-0.000000,-0.000000
21.136000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.206010,-0.000000,-0.000000,-0.000000
21.137000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.215820,-0.000000,-0.000000,-0.000000
21.138000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.225630,-0.000000,-0.000000,-0.000000
21.139000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.235440,-0.000000,-0.000000,-0.000000
21.140000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.245250,-0.000000,-0.000000,-0.000000
21.141000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.255060,-0.000000,-0.000000,-0.000000
21.142000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.264870,-0.000000,0.000000,-0.000000
21.143000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.274680,-0.000000,0.000000,-0.000000
21.144000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.284490,-0.000000,0.000000,-0.000000
21.145000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.294300,-0.000000,0.000000,-0.000000
21.146000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.304110,-0.000000,0.000000,-0.000000
21.147000,0.365740,-0.221500,-0.073680,0.000000,0.000000,3.141590,0.000000,0.000000,-0.313920,-0.000000,-0.000000,-0.000000
